N sim mu_vmp psi_11_vmp psi_12_vmp psi_13_vmp psi_21_vmp psi_22_vmp psi_23_vmp Zeta_1_hat_vmp Zeta_2_hat_vmp
250 71 0.001768867 0.003265264 0.002776062 0.007064359 0.0001314627 0.001971492 0.002951172 0.4661822 0.5750996
250 72 0.02285058 0.001490887 0.04710934 0.05668525 0.0001015298 0.006144884 0.006782015 0.491189 0.5569108
250 73 0.004773191 0.0005827363 0.01191162 0.02187683 0.000391718 0.00242735 0.004696634 0.4234377 0.5588182
250 74 0.002419846 0.0007450142 0.01066927 0.01169347 0.0004218659 0.003906207 0.005404768 0.3411409 0.5674461
250 75 0.00451449 0.005704826 0.002363919 0.01063708 0.00027227 0.001684818 0.001717921 0.3700578 0.5553259
250 76 0.004525511 0.0007904811 0.001532272 0.002624378 0.000282985 0.0344443 0.0360811 0.3647293 0.7588702
250 77 0.004481133 0.002637909 0.003539154 0.002770227 0.0004156712 0.002032342 0.001785384 0.3742404 0.565118
250 78 0.005747174 0.003362757 0.004387557 0.01347823 0.0004551865 0.002481136 0.00446285 0.3919337 0.7293455
250 79 0.005003605 0.009089009 0.01139924 0.006137273 0.0003227849 0.002412216 0.003037951 0.4089521 0.562174
250 80 0.002552036 0.01554537 0.01820625 0.007770051 0.000217879 0.002052741 0.002738569 0.4241829 0.5599134
500 81 0.001248662 0.004955982 0.008659276 0.01602725 0.0003093153 0.008521609 0.008674978 0.3858764 0.616305
500 82 0.002347679 0.002806578 0.001456976 0.01772183 0.0005891411 0.0009483576 0.00173137 0.3921576 0.5585594
500 83 0.005358649 0.003687272 0.003837302 0.00239066 0.0001624043 0.003089326 0.003732868 0.4442101 0.5619992
500 84 0.001910202 0.002068598 0.02578978 0.02632718 0.0002388296 0.001208715 0.00107014 0.3594422 0.5523668
500 85 0.0006698154 0.00221834 0.02010856 0.02070272 0.0003561189 0.009227735 0.0102442 0.372768 0.6833809
500 86 0.01429046 0.004477826 0.01377301 0.01555777 8.561573e-05 0.001398871 0.002475038 0.4521531 0.5595732
500 87 0.0006515578 0.00520202 0.008909625 0.01438084 0.000123728 0.003999094 0.004808902 0.3731503 0.5614922
500 88 0.009746575 0.0004722825 0.003373549 0.007227457 0.0002357786 0.001018489 0.001882315 0.3808115 0.5649413
500 89 0.0004449551 0.0009445627 0.002684039 0.00328592 0.0001907455 0.0010366 0.001905186 0.3179347 0.7345942
500 90 0.009827594 0.003398412 0.007096161 0.004457423 0.0002763848 0.003581636 0.003745273 0.4275996 0.5600908
500 91 0.01068075 0.0006377401 0.00157014 0.001119624 0.0002106412 0.001974942 0.002773451 0.4413213 0.7329693
500 92 0.0005477157 0.003121985 0.003149145 0.04831545 0.0002571066 0.001055744 0.002141028 0.3886819 0.5626499
500 93 0.0006787894 0.001028804 0.008799498 0.01061371 0.0001485979 0.001097273 0.001762691 0.3456729 0.557715
500 94 0.00109947 0.004805755 0.01566522 0.01344489 0.0002701046 0.0014265 0.002385848 0.3973611 0.5591219
500 95 0.002781434 0.0005506972 0.0003352386 0.002377691 0.0001327545 0.001799263 0.002453609 0.3484154 0.555467
500 96 0.001226704 0.003798695 0.07786739 0.0744707 0.0002024089 0.000911396 0.00132366 0.4121907 0.5563357
500 97 0.004392159 0.003196621 0.003327159 0.006278811 8.998542e-05 0.001175436 0.001234015 0.3987479 0.5542955
500 98 0.0006873682 0.0007672879 0.003095408 0.007963653 7.547274e-05 0.0005490284 0.0009206694 0.3681002 0.5528053
500 99 0.007252892 0.002531398 0.01127515 0.01276908 9.369094e-05 0.003612887 0.004111692 0.3665966 0.7327896
500 100 0.003641532 0.005238291 0.008422109 0.008088394 0.0001171054 0.0009802359 0.001389244 0.3873235 0.5530863
