N sim mu_vmp mu_mcmc psi_1_vmp psi_1_mcmc psi_2_vmp psi_2_mcmc psi_3_vmp psi_3_mcmc psi_4_vmp psi_4_mcmc zeta_vmp zeta_mcmc
10 67 0.2280329 0.2306439 0.1710884 0.1883273 0.2105483 0.2108633 1.207513 0.6914309 1.050856 0.470503 1.087951 0.850359
10 68 0.09406916 0.1043534 0.06584475 0.0587817 0.08151831 0.07678831 1.151552 0.5296047 0.824012 0.4832242 0.6783735 0.6974135
10 69 0.07602464 0.0737172 0.03837513 0.03819519 1.066517 0.5558951 1.987727 0.4929711 1.436862 0.4288629 0.6982547 0.6803699
10 70 0.1019646 0.2015831 0.1097595 0.09736792 0.2300584 0.3231078 0.6813168 0.4624014 0.330701 0.6101437 0.726227 0.8664531
10 71 0.1032015 0.07393071 0.05665727 0.05043279 0.0797289 0.06829848 0.9008707 0.3979658 0.6252196 0.450918 0.6649667 0.5785268
10 72 0.1127387 0.08535651 0.1766243 0.1981273 1.078378 0.5614238 1.92309 0.4737309 1.337392 0.485457 0.7805675 0.7657737
10 73 0.08494083 0.112035 0.213271 0.1918948 0.2325623 0.2285335 1.024726 0.4472288 0.5778782 0.5061632 0.7927677 0.7492076
10 74 0.2453908 0.1809557 0.3666309 0.03930791 1.585046 0.3242285 1.910784 0.6187429 0.4391591 0.546297 1.065193 0.7799786
10 75 0.06450259 0.06927988 0.1302896 0.1302344 0.1248169 0.1141215 0.7269459 0.5300763 0.9228115 0.4429674 0.583501 0.6602387
10 76 0.2275199 0.2241218 0.1416027 0.1855363 0.2942821 0.2867717 1.815906 0.5344038 0.7809928 0.4696997 0.8224271 0.7951766
10 77 0.08578497 0.07733278 0.06173605 0.06383052 0.8707986 0.3754022 1.21064 0.4104685 0.5429651 0.4500886 0.7459282 0.7168089
10 78 0.03700839 0.05361994 0.05298186 0.04816182 0.1357306 0.1595297 1.149863 0.8357003 0.4550008 0.3327199 0.6719305 0.683096
10 79 0.127275 0.09856599 0.2014459 0.2586914 0.399631 0.5175759 1.169925 0.343818 0.6762169 0.5903648 0.9868889 0.7924553
10 80 0.3332455 0.2396649 0.08207443 0.09145121 0.09770508 0.09472272 0.890274 0.4615635 0.8060709 0.4493266 0.8901505 0.8278542
10 81 0.3013 0.3086313 0.02302347 0.02891013 0.05510988 0.07175731 1.061954 0.5531868 1.683384 0.4714586 0.8562631 0.7759102
10 82 0.2221519 0.2659581 0.07850574 0.06283802 0.8738452 0.2343205 1.246813 0.4458677 0.8426297 0.4970715 0.817255 0.8068724
10 83 0.2309223 0.2599114 0.2716981 0.2163205 0.2872953 0.2263117 1.083713 0.5258206 1.292304 0.4724654 0.8073683 0.8154273
10 84 0.112908 0.0818365 0.4385777 0.3390132 1.098831 0.4644884 1.208292 0.5341485 0.4031204 0.4614016 0.828289 0.7097877
10 85 0.1050371 0.07577851 0.05217906 0.03220212 0.9884861 0.1254834 1.542639 0.4495674 0.2511686 0.4806913 0.7943414 0.6770822
10 86 9.506586 0.1076703 1.992459 0.9901879 1.934812 0.7768336 1.953888 0.3702633 2.000001 0.3946866 0.8737169 0.8264941
10 87 9.555646 0.3305949 1.973804 0.4475662 1.937702 0.520685 1.949729 0.4998694 2.000001 0.5523541 1.028208 0.8807155
10 88 0.2095723 0.2383645 0.2057625 0.1602832 1.160141 0.4616606 1.045289 0.4229739 0.4883479 0.4783857 0.8370399 0.7699633
10 89 0.06658654 0.06612663 0.1928217 0.2122536 0.4178237 0.4180662 0.7962555 0.3897698 1.945127 0.6359942 0.7818846 0.8026579
10 90 0.1806982 0.1941834 0.1076974 0.1096099 1.143931 0.6724789 1.683479 0.5602181 1.781594 0.4829898 0.834011 0.8205899
10 91 0.1430378 0.1343842 0.07063422 0.07325743 0.2009916 0.1780016 0.8865514 0.3241064 1.851732 0.4199123 0.8539519 0.8294069
