N sim mu_vmp psi_11_vmp psi_12_vmp psi_13_vmp psi_21_vmp psi_22_vmp psi_23_vmp zeta_1_vmp zeta_2_vmp
50 54 0.01045996 0.006917812 0.03224302 0.08852226 0.003677139 0.003831179 0.007456824 0.4234597 0.571468
50 55 0.08198949 0.01074492 0.04460741 0.07733523 0.0008933342 0.002771459 0.01279151 0.5272172 0.5643266
50 56 0.002649127 0.0008788166 0.006232217 0.01006442 0.0004402291 0.009869853 0.01494599 0.3705309 0.6495907
50 57 0.05291071 0.006587843 0.5658732 0.5705465 0.002370773 0.006490819 0.01056077 0.615315 0.5900241
50 58 0.03346495 0.03734107 0.06104501 0.04144691 0.001185681 0.01048626 1.894603 0.5366429 0.6443635
50 59 0.01800665 0.02228484 0.02753141 0.06012353 0.002391189 0.004888618 1.96191 0.4623089 0.7808691
50 60 0.05267523 0.03070334 0.08643553 0.05612261 0.002868958 0.009457288 1.994662 0.5688332 0.6391909
50 61 0.03214367 0.006423331 0.02260556 0.03858234 0.002688653 0.06011472 0.06314104 0.4475687 0.6382848
50 62 0.04582433 0.03665688 0.03846199 0.01831449 0.002468423 0.0242819 0.04431122 0.5361891 0.6288112
50 63 0.03052257 0.07582572 0.2396446 0.2044676 0.003365897 0.01143263 1.998744 0.558405 0.6559382
50 64 0.01632554 0.005687473 0.006313808 0.03645715 0.001317723 0.004674845 0.00798055 0.4103993 0.5769238
50 65 0.08096733 0.008149809 0.0195471 0.04435436 0.001877946 0.01427181 0.02244719 0.5504772 0.563315
50 66 0.01525463 0.02564311 0.08030017 0.04110787 0.002085752 0.006811576 1.993849 0.5049805 0.6462731
50 67 0.005655883 0.03008799 0.02847621 0.01959033 0.003474632 0.02977704 0.03809932 0.4934607 0.6150891
50 68 0.0144206 0.02348155 0.07029519 0.05940935 0.0005567486 0.02208189 1.941108 0.4580483 0.6621609
50 69 0.02746693 0.006772283 0.01864484 0.03379157 0.0007296349 0.02158339 1.96327 0.4899161 0.6429979
50 70 0.06688057 0.00429234 0.2232722 0.2224333 0.02099714 0.03297903 0.04712006 0.5592184 0.7797698
50 71 0.05138342 0.02163375 0.02675033 0.02992429 0.009167911 0.0340949 0.0318518 0.5236799 0.8386558
50 72 0.08093552 0.004267643 0.05967521 0.08009085 0.003264284 0.01633026 0.01966746 0.5977815 0.7626258
50 73 0.05417421 0.01344108 0.02418691 0.05911579 0.002016461 0.01785466 0.03049857 0.5135463 0.5891967
50 74 0.05602474 0.0044492 0.01032979 0.01279963 0.002284953 0.007252551 0.006498174 0.5100522 0.5882697
50 75 0.01925093 0.05514382 0.0565866 0.01541209 0.001311552 0.003518504 0.01572211 0.5212309 0.5766331
50 76 0.01287938 0.005997601 0.0203865 0.0319291 0.001653581 0.01079706 0.01903629 0.3620827 0.6633623
50 77 0.009197329 0.01074274 0.02074196 0.03978347 0.0005316127 0.008352311 0.01821507 0.5038985 0.5686286
50 78 0.01484175 0.03636115 0.06005494 0.0284369 0.003839987 0.03547197 0.04726644 0.5175904 0.7181795
50 79 0.02077479 0.006030175 0.05181422 0.05379563 0.002862474 0.01573393 0.02160743 0.4271663 0.6482916
50 80 0.009880922 0.004760671 0.02480998 0.04221273 0.001088806 0.02429899 0.02793727 0.4215193 0.561693
50 81 0.003230784 0.01871915 0.03516492 0.01800061 0.003571415 0.01129193 1.9582 0.3980407 0.6817548
50 82 0.02321694 0.009550907 0.1632098 0.1943084 0.002408296 0.005136996 0.0193092 0.6299037 0.5868631
50 83 0.1103421 0.00416899 0.006549931 0.01230655 0.0007606002 0.008377713 1.989995 0.585334 0.6382627
50 84 0.01412931 0.04751488 0.02689669 0.02757686 0.002538475 0.01241961 1.956057 0.4950742 0.691339
50 85 0.00625406 0.003515188 0.02739189 0.04627261 0.000945735 0.009146052 0.01340086 0.3961629 0.5960627
50 86 0.002782625 0.02140413 0.03117806 0.02090837 0.002552784 0.005363088 1.889468 0.4554035 0.7522118
50 87 0.01122894 0.002436158 0.01245485 0.02142451 0.001499152 0.006265448 0.01418569 0.3721774 0.563841
50 88 0.1490909 0.005735653 0.01043448 0.007801088 0.003808667 0.01085268 1.99008 0.8054151 0.64315
50 89 0.03309729 0.01554351 0.01104548 0.0216651 0.002406553 0.01022726 1.83797 0.4615821 0.6401975
50 90 0.002531287 0.03319796 0.04504395 0.009834064 0.003112504 0.01037359 0.0140274 0.4515949 0.5670228
50 91 0.02290058 0.007530506 0.03311221 0.0329779 0.001870021 0.006088197 0.01186158 0.5132208 0.5665898
50 92 0.04649838 0.003300435 0.09020039 0.08862075 0.0015155 0.005783742 1.986606 0.5117686 0.637466
50 93 0.03839641 0.03517635 0.0921591 0.05921562 0.01002686 0.01809247 1.960116 0.5604941 0.6495351
50 94 0.008215597 0.01924207 0.04434045 0.05104789 0.001822606 0.006461841 1.982547 0.4438858 0.6405411
50 95 0.01656823 0.01485987 0.03075482 0.03001756 0.0005654328 0.009108457 1.970713 0.4213558 0.9268703
50 96 0.01382947 0.008820813 0.004658073 0.07942711 0.001385468 0.006437688 1.987138 0.4066705 0.6471812
50 97 0.004490116 0.01669058 0.01422619 0.03318211 0.002113813 0.005762797 1.992376 0.4300427 0.6796621
50 98 0.0209293 0.0370812 0.03584186 0.02056155 0.001690572 0.006551645 1.930615 0.4932066 0.6269037
50 99 0.03091726 0.003015143 0.01161098 0.02765306 0.0007764322 0.0226855 0.02581045 0.4705795 0.6001759
50 100 0.04048233 0.005435549 0.119868 0.09286996 0.001127131 0.04854092 0.05092657 0.5248246 0.6489578
100 1 0.003822674 0.004893126 0.00407392 0.01972045 0.001445493 0.004465005 0.004689815 0.4103928 0.57979
100 2 0.03248524 0.001885781 0.02801378 0.03469019 0.0002685837 0.00485102 0.007964302 0.5371286 0.6172099
100 3 0.04133138 0.01992741 0.01420277 0.05664706 0.0008477721 0.002691041 1.837577 0.495323 0.6402298
100 4 0.01053621 0.004147249 0.07093777 0.07366524 0.0004296401 0.002429022 0.00791742 0.5435385 0.5639072
100 5 0.02391762 0.004748194 0.02135354 0.04256224 0.001421103 0.003536608 0.00430188 0.4363626 0.5641525
100 6 0.006516862 0.002226858 0.00460791 0.005482622 0.0008472679 0.005638082 0.005430872 0.395427 0.569357
100 7 0.007169376 0.01047924 0.04432613 0.2224666 0.000561851 0.00429791 0.583474 0.3868286 0.8358312
