N sim mu_vmp mu_mcmc psi_11_vmp psi_11_mcmc psi_12_vmp psi_12_mcmc psi_13_vmp psi_13_mcmc psi_21_vmp psi_21_mcmc psi_22_vmp psi_22_mcmc psi_23_vmp psi_23_mcmc zeta_1_vmp zeta_1_mcmc zeta_2_vmp zeta_2_mcmc
10 55 0.03875621 0.02119293 0.07635766 0.06844331 0.1661713 0.1223889 0.2828918 0.1572283 0.006617917 0.005216591 0.02841261 0.01695301 1.934551 0.06057599 0.5195112 0.5412173 0.6427612 0.5670687
10 56 0.03429583 0.04357186 0.06576596 0.06152258 0.4402581 0.503028 0.4635284 0.5524692 0.01686533 0.01070125 1.496875 0.142127 1.767091 0.1687996 0.6419549 0.6658947 1.018818 0.5861444
10 57 0.03981147 0.03664489 0.1344658 0.1424444 0.9509849 0.7649838 1.264479 0.6478852 0.01623999 0.003686039 0.05223786 0.04174018 1.981625 0.0509246 0.9100466 0.6542037 0.7671868 0.5795734
10 58 0.01728133 0.04936278 0.08784708 0.09238477 0.1560513 0.1698109 0.09983227 0.1107715 0.005382982 0.004684091 0.04962676 0.03131446 1.978191 0.07040692 0.6762541 0.6971323 0.6273911 0.5758879
10 59 0.749941 0.4615099 0.01228199 0.006047178 0.4175751 0.3252543 0.4506187 0.3371092 0.006795254 0.004833602 0.06836967 0.06323062 1.849806 0.1149021 0.9390604 0.8785821 0.6367523 0.5780155
10 60 0.01418531 0.0162742 0.0460132 0.04461383 0.1347944 0.3810871 0.05905502 0.3469956 0.01129323 0.0160085 1.442378 0.01659915 1.857206 0.08827976 0.4940999 0.5277601 1.002967 0.591759
10 61 0.3059671 0.1993757 0.03811841 0.03033303 0.04481805 0.0329144 0.06525719 0.04616141 0.007259256 0.007185614 0.06917057 0.06449913 1.982779 0.06216647 0.72058 0.6593277 0.651329 0.6043288
10 62 0.1019373 0.1241328 0.05395903 0.05795997 0.07713894 0.08647596 0.1558848 0.1156297 0.01245084 0.01034915 1.510729 0.02956957 1.89345 0.07705091 0.670156 0.6479835 0.7423744 0.5776442
10 63 0.3273644 0.4611864 0.01590077 0.01456636 0.1314415 0.1020331 0.1111449 0.1124345 0.02081114 0.01950995 0.04101085 0.04303057 1.963364 0.04693233 0.804448 0.8462869 0.6524593 0.6002756
10 64 0.02658422 0.067169 0.02513086 0.0248204 0.1163699 0.1029436 0.2004122 0.1614606 0.01211104 0.01242167 0.06189877 0.06477975 1.866475 0.06913533 0.5290795 0.5595496 0.6531273 0.6041622
10 65 0.0757491 0.1175245 0.07571111 0.0585169 0.2557795 0.2297172 0.23225 0.2350476 0.368453 0.0122003 0.8460399 0.7361458 1.794525 0.7219541 0.6579754 0.6393432 0.886164 0.7131269
10 66 0.04768464 0.06486969 0.00537858 0.005311841 0.08940176 0.1332543 0.6546145 0.1780867 1.143804 0.007859566 1.171937 0.03830526 1.922122 0.07161676 0.5076858 0.4942917 0.8967692 0.5958225
10 67 0.04352024 0.08478265 0.01319987 0.01402325 0.05349033 0.06192072 0.0848569 0.06846344 0.0134394 0.01146475 0.06031544 0.03810965 1.97939 0.04578447 0.4341054 0.5173764 0.6907351 0.6033815
10 68 0.16462 0.155415 0.05326982 0.05764177 0.04571411 0.03076475 0.4200113 0.1751742 1.155047 0.009889451 1.161971 0.04769913 1.938351 0.03042445 0.6616509 0.6312494 0.9463703 0.6312127
10 69 0.2355202 0.213028 0.1187809 0.1081546 0.2284551 0.208358 0.1030215 0.09097683 0.007251686 0.005750658 0.03138264 0.02946536 1.869731 0.05712288 0.7852868 0.7811398 0.6692583 0.6132939
10 70 0.226017 0.06534523 0.8590578 0.732522 1.149947 1.219433 0.3961027 0.6112112 0.007980352 0.008940933 0.03268638 0.02411638 2.000304 0.04705335 0.9649816 0.9310955 0.6485424 0.590417
10 71 0.04934349 0.09609736 0.04370285 0.03977985 0.1147274 0.09385676 0.07141555 0.1228235 0.02164915 0.01938116 0.1940202 0.1488783 1.942501 0.1603913 0.5626148 0.5759028 0.6785706 0.6208295
