N sim iter vmp mcmc
100 64 264 515.0864 25592.72
100 65 201 386.772 30328.07
100 66 129 262.1543 30081.49
100 67 229 444.4017 18993.14
100 68 289 553.1479 44572.8
100 69 330 647.5505 40998.4
100 70 136 265.7884 32649.14
100 71 140 328.7352 24814.22
100 72 185 371.2699 35566.19
100 73 267 561.0687 47179.12
100 74 130 294.2471 35808.24
100 75 191 411.699 32027.26
100 76 500 999.6897 28034.25
100 77 236 466.6959 18751.34
100 78 277 542.9984 29063.73
100 79 327 638.7029 28078.89
100 80 199 396.2852 23903.38
100 81 24 76.13792 27871.12
100 82 500 967.3465 28121.02
100 83 317 746.1026 28043.79
100 84 127 306.7396 28872.65
100 85 297 682.089 29940.13
100 86 170 392.5789 17524.53
100 87 293 668.5146 32593.2
100 88 143 336.9586 35809.07
100 89 212 480.7395 17578.91
100 90 152 298.5878 28810.63
100 91 376 718.8294 31682.98
100 92 231 450.3998 33833.27
100 93 78 170.02 18514.9
100 94 273 553.626 31298.74
100 95 203 423.5644 25283.04
100 96 252 511.0216 44175.79
100 97 29 80.28889 26958.19
100 98 225 457.6712 32716.51
100 99 387 761.5156 33881.7
100 100 78 179.389 26000.72
250 1 116 576.8391 51089.13
250 2 263 1233.57 69267.71
250 3 22 160.2661 49127.94
250 4 283 1322.725 50991.33
250 5 241 1149.309 56343.13
250 6 311 1445.956 86608.72
250 7 173 833.6395 73666.62
250 8 311 1469.401 77235.13
250 9 85 440.4679 81355.52
250 10 273 1317.476 42249.24
250 11 165 774.2893 68355.71
250 12 280 1327.568 43630.5
250 13 401 1849.604 74761.82
250 14 26 172.4166 118335.3
250 15 197 909.4105 74843.87
250 16 26 174.0933 46402.34
250 17 252 1157.589 48284.41
250 18 276 1291.051 70519.46
250 19 337 1571.758 46004.49
250 20 65 344.2453 76457.85
250 21 56 301.25 74780.28
250 22 197 904.8539 71884.11
250 23 210 963.8065 71447.09
250 24 179 873.8511 50806.33
250 25 273 1308.848 42894.65
250 26 123 644.7175 66315.3
250 27 291 1423.947 110725.8
250 28 108 566.7075 71743.46
250 29 285 1365.567 71909.4
250 30 44 262.317 47990.33
250 31 235 1122.803 56198.93
250 32 65 359.543 82741.38
250 33 158 762.1878 77680.72
250 34 42 250.699 70357.94
250 35 273 1290.326 77407.9
250 36 261 1229.758 75727.67
250 37 30 192.8994 73394.59
250 38 500 2305.266 47759.9
250 39 147 733.7658 75207.61
250 40 128 621.953 66668.3
250 41 179 907.1112 62463.41
250 42 303 1417.134 64239.9
250 43 82 455.6548 58604.71
250 44 62 366.9077 61148.84
250 45 219 1144.757 44702.09
250 46 173 907.9345 48272.43
250 47 167 882.7756 74847.14
250 48 259 1338.967 76900.12
250 49 287 1483.421 36178.22
250 50 133 707.949 74908.57
250 51 58 354.524 77621.23
250 52 258 1306.391 58417.45
250 53 327 1647.375 72301.17
250 54 323 1575.506 69223.07
250 55 151 765.0087 70764.15
250 56 49 297.2789 77153.16
250 57 88 482.9333 78028.1
250 58 194 987.3573 79689.28
250 59 205 1083.064 83520.09
250 60 195 932.5383 56283.67
250 61 269 1265.629 75281.33
250 62 225 1054.764 74541.44
250 63 187 890.9594 65179.75
250 64 142 668.4363 69188.93
250 65 243 1149.996 69332.93
250 66 191 910.4009 44524.65
250 67 32 215.7057 67913.55
