N sim iter vmp mcmc
500 56 56 73.35414 4961.37
500 57 40 53.39315 4807.841
500 58 38 50.93618 4696.669
500 59 40 53.30239 5156.704
500 60 48 53.9056 2424.857
500 61 54 61.32292 2783.411
500 62 26 30.23021 3141.548
500 63 36 41.50377 2886.306
500 64 41 58.29134 6062.668
500 65 98 135.1892 6416.692
500 66 28 40.75926 6161.424
500 67 49 69.27645 6084.141
500 68 31 45.33198 6519.431
500 69 42 60.26812 6269.234
500 70 34 49.53847 6860.76
500 71 39 56.53581 6231.433
500 72 46 65.46063 6917.463
500 73 85 117.8946 5441.052
500 74 64 90.10237 7102.727
500 75 54 76.43736 6547.741
500 76 38 55.26683 6083.325
500 77 34 50.29732 6456.13
500 78 32 47.48302 6249.276
500 79 32 47.72463 6739.94
500 80 32 47.68492 7219.887
500 81 51 72.41322 6176.268
500 82 46 75.08274 7234.919
500 83 38 63.08116 7187.497
500 84 32 46.36286 6023.18
500 85 36 59.89868 7522.387
500 86 36 59.99263 8219.731
500 87 383 496.0626 6927.057
500 88 42 69.51122 8028.075
500 89 35 59.11354 6795.735
500 90 40 51.14755 6435.048
500 91 52 85.44403 7549.663
500 92 36 60.19402 7193.346
500 93 41 52.53697 7151.832
500 94 38 59.0815 6254.183
500 95 62 94.62811 6141.237
500 96 40 62.57528 5876.963
500 97 51 77.81891 6111.953
500 98 50 76.4427 5813.577
500 99 58 88.56105 6271.294
500 100 40 61.8593 5830.68
